unidade,data
santana,2025-06-13 09:24:27
gopoúva,2025-06-13 09:24:53
pimentas,2025-06-13 09:25:35
freguesia,2025-06-13 09:26:18
pirituba,2025-06-13 09:27:01
extremo_norte,2025-06-13 09:27:44
água_norte,2025-06-13 09:28:27
